tmdb_id;title;year;runtime;rating;cast;genres
"238";"The Godfather";1972;175;87;Al Pacino|Marlon Brando|James Caan|Richard S. Castellano|Robert Duvall|Sterling Hayden|John Marley|Richard Conte|Diane Keaton;Drama|Crime
"278";"The Shawshank Redemption";1994;142;87;Tim Robbins|Morgan Freeman|Bob Gunton|William Sadler|Clancy Brown|Gil Bellows|James Whitmore|Mark Rolston|Jeffrey DeMunn;Drama|Crime
"240";"The Godfather Part II";1974;202;86;Al Pacino|Robert Duvall|Diane Keaton|Robert De Niro|Talia Shire|Morgana King|John Cazale|Marianna Hill|Lee Strasberg;Drama|Crime
"19404";"Dilwale Dulhania Le Jayenge";1995;190;86;Shah Rukh Khan|Kajol|Amrish Puri|Anupam Kher|Satish Shah|Farida Jalal|Achala Sachdev|Himani Shivpuri|Pooja Ruparel;Comedy|Drama|Romance
"424";"Schindler's List";1993;195;86;Liam Neeson|Ben Kingsley|Ralph Fiennes|Caroline Goodall|Jonathan Sagall|Embeth Davidtz|Malgorzata Gebel|Shmuel Levy|Mark Ivanir;Drama|History|War
"129";"Spirited Away";2001;125;85;Rumi Hiiragi|Miyu Irino|Mari Natsuki|Takashi Naito|Yasuko Sawaguchi|Tsunehiko Kamijô|Takehiko Ono|Bunta Sugawara|Akio Nakamura;Animation|Family|Fantasy
"389";"12 Angry Men";1957;97;85;Martin Balsam|John Fiedler|Lee J. Cobb|E.G. Marshall|Jack Klugman|Edward Binns|Jack Warden|Henry Fonda|Joseph Sweeney;Drama
"372058";"Your Name.";2016;106;85;Ryunosuke Kamiki|Mone Kamishiraishi|Ryo Narita|Aoi Yuki|Nobunaga Shimazaki|Kaito Ishikawa|Kanon Tani|Masaki Terasoma|Sayaka Ohara;Romance|Animation|Drama
"496243";"Parasite";2019;133;85;Song Kang-ho|Lee Sun-kyun|Cho Yeo-jeong|Choi Woo-shik|Park So-dam|Lee Jung-eun|Jang Hye-jin|Park Myung-hoon|Jung Ji-so;Comedy|Thriller|Drama
"155";"The Dark Knight";2008;152;85;Christian Bale|Heath Ledger|Michael Caine|Gary Oldman|Aaron Eckhart|Maggie Gyllenhaal|Morgan Freeman|Nestor Carbonell|Monique Gabriela Curnen;Drama|Action|Crime|Thriller
"497";"The Green Mile";1999;189;85;Tom Hanks|Michael Clarke Duncan|David Morse|Bonnie Hunt|Michael Jeter|Doug Hutchison|Sam Rockwell|James Cromwell|Barry Pepper;Fantasy|Drama|Crime
"680";"Pulp Fiction";1994;154;85;John Travolta|Samuel L. Jackson|Uma Thurman|Bruce Willis|Ving Rhames|Harvey Keitel|Eric Stoltz|Tim Roth|Amanda Plummer;Thriller|Crime
"429";"The Good, the Bad and the Ugly";1966;161;85;Clint Eastwood|Eli Wallach|Lee Van Cleef|Aldo Giuffrè|Luigi Pistilli|Rada Rassimov|Antonio Casale;Western
"13";"Forrest Gump";1994;142;85;Tom Hanks|Robin Wright|Gary Sinise|Sally Field|Mykelti Williamson|Michael Conner Humphreys|Hanna Hall|Haley Joel Osment|Siobhan Fallon Hogan;Comedy|Drama|Romance
"372754";"Dou kyu sei ā Classmates";2016;61;85;Kenji Nojima|Hiroshi Kamiya|Hideo Ishikawa;Romance|Animation
"122";"The Lord of the Rings: The Return of the King";2003;201;85;Elijah Wood|Ian McKellen|Liv Tyler|Viggo Mortensen|Sean Astin|Andy Serkis|Cate Blanchett|John Rhys-Davies|Bernard Hill;Adventure|Fantasy|Action
"769";"GoodFellas";1990;145;85;Ray Liotta|Robert De Niro|Joe Pesci|Lorraine Bracco|Paul Sorvino|Frank Sivero|Tony Darrow|Mike Starr|Frank Vincent;Drama|Crime
"346";"Seven Samurai";1954;207;85;Toshirō Mifune|Takashi Shimura|Yoshio Inaba|Seiji Miyaguchi|Minoru Chiaki|Daisuke Katō|Isao Kimura|Keiko Tsushima|Yukiko Shimazaki;Action|Drama
"696374";"Gabriel's Inferno";2020;122;85;Melanie Zanetti|Giulio Berruti|Kurt McKinney|Agnes Albright|Margaux Brooke|Ned Van Zandt;Romance
"11216";"Cinema Paradiso";1988;124;85;Philippe Noiret|Jacques Perrin|Marco Leonardi|Salvatore Cascio|Agnese Nano|Antonella Attili|Enzo Cannavale|Isa Danieli|Leo Gullotta;Drama|Romance
"637";"Life Is Beautiful";1997;116;85;Roberto Benigni|Nicoletta Braschi|Giorgio Cantarini|Giustino Durano|Sergio Bini Bustric|Lidia Alfonsi|Giuliana Lojodice|Amerigo Fontani|Pietro De Silva;Comedy|Drama
"995133";"The Boy, the Mole, the Fox and the Horse";2022;34;85;Jude Coward Nicoll|Tom Hollander|Idris Elba|Gabriel Byrne;Animation|Family|Adventure|Fantasy
"12477";"Grave of the Fireflies";1988;89;84;Tsutomu Tatsumi|Ayano Shiraishi;Animation|Drama|War
"311";"Once Upon a Time in America";1984;229;84;Robert De Niro|James Woods|Elizabeth McGovern|Joe Pesci|Burt Young|Tuesday Weld|Treat Williams|Jennifer Connelly|Danny Aiello;Drama|Crime
"539";"Psycho";1960;109;84;Anthony Perkins|Vera Miles|John Gavin|Martin Balsam|John McIntire|Janet Leigh|Simon Oakland|Frank Albertson|Patricia Hitchcock;Horror|Drama|Thriller
"611291";"Bring the Soul: The Movie";2019;105;84;Kim Nam-joon|Kim Seok-jin|Min Yoon-gi|Jung Ho-seok|Park Ji-min|Kim Tae-hyung|Jeon Jung-kook;Music|Documentary
"724089";"Gabriel's Inferno: Part II";2020;105;84;Melanie Zanetti|Giulio Berruti|Margaux Brooke|Agnes Albright|Purva Bedi|Sahar Bibiyan|Cedric Cannon|Ned Van Zandt;Romance
"550";"Fight Club";1999;139;84;Edward Norton|Brad Pitt|Helena Bonham Carter|Meat Loaf|Jared Leto|Zach Grenier|Holt McCallany|Eion Bailey|Richmond Arquette;Drama|Thriller|Comedy
"667257";"Impossible Things";2021;88;84;Nora Velázquez|Benny Emmanuel|Luisa Huertas|Salvador Garcini|Andrés Delgado|Gabriela Cartol|Juan Carlos Medellin|Ari Gallegos;Family|Drama
